iter	Accuracy	Logloss
0	0.9706401115	0.5293665611
1	0.9706401115	0.4170075299
2	0.9706401115	0.3328458567
3	0.9706401115	0.2764660641
4	0.9706401115	0.2369728798
5	0.9706401115	0.2076470752
6	0.9706401115	0.1811812478
7	0.9706401115	0.1655554846
8	0.9706401115	0.152220857
9	0.9706401115	0.1417030079
10	0.9706401115	0.132955795
11	0.9706401115	0.1283770323
12	0.9706401115	0.124794578
13	0.9712509179	0.1211075616
14	0.9712577809	0.1173253354
15	0.9712509179	0.1150410432
16	0.9712783699	0.112739649
17	0.9712783699	0.1108205912
18	0.9713264109	0.1100264617
19	0.9712783699	0.1076545481
20	0.9713538628	0.1067706926
21	0.9713607258	0.1057031794
22	0.9713675888	0.1051470924
23	0.9713607258	0.1042531802
24	0.9714224928	0.1039727557
25	0.9714224928	0.1025001955
26	0.9714224928	0.1015338465
27	0.9714224928	0.101043455
28	0.9713538628	0.09991088098
29	0.9713538628	0.09910966775
30	0.9713538628	0.09864740262
31	0.9714224928	0.09781840359
32	0.9714224928	0.0974849906
33	0.9714156298	0.09642927357
34	0.9714224928	0.09557613334
35	0.9714224928	0.09520793204
36	0.9714224928	0.09468070221
37	0.9714224928	0.09381216093
38	0.9714224928	0.09324193709
39	0.9714224928	0.09245897406
40	0.9714224928	0.09213548673
41	0.9714224928	0.09165760952
42	0.9714430818	0.09097329825
43	0.9715048487	0.09073763991
44	0.9715117117	0.09026600419
45	0.9715323007	0.08978433053
46	0.9715528897	0.08916842579
47	0.9715940676	0.08890364933
48	0.9716215196	0.08853746825
49	0.9716352456	0.08808437651
50	0.9716489716	0.08792109193
51	0.9716764236	0.08765811758
52	0.9716695606	0.08710643545
53	0.9717587795	0.08652177063
54	0.9717656425	0.08626591881
55	0.9718548614	0.08582451872
56	0.9719372173	0.08532144812
57	0.9720264363	0.08496682249
58	0.9720401622	0.08470493209
59	0.9720950662	0.08437134941
60	0.9722186001	0.08395369983
61	0.972280367	0.08372228683
62	0.972321545	0.08359315719
63	0.9724244899	0.08333290762
64	0.9724588049	0.08311576865
65	0.9724450789	0.08274173778
66	0.9724656679	0.08247856675
67	0.9724931198	0.082171505
68	0.9725411608	0.08202245532
69	0.9725686128	0.08157451049
70	0.9725411608	0.08128646085
71	0.9726441057	0.08102254655
72	0.9727127357	0.08068238813
73	0.9727470506	0.08025738312
74	0.9727539136	0.07975206015
75	0.9728774475	0.07951224821
76	0.9728980365	0.07893500898
77	0.9729254885	0.07844917127
78	0.9729872554	0.07820307675
79	0.9730147074	0.07804090679
80	0.9730284334	0.07771737052
81	0.9730627484	0.0775327615
82	0.9731382413	0.07730032609
83	0.9732411862	0.07703411003
84	0.9733029531	0.07684799543
85	0.9733990351	0.07665865504
86	0.973447076	0.07651147548
87	0.973495117	0.07612562595
88	0.973515706	0.07595350066
89	0.9735362949	0.075567223
90	0.9735362949	0.07537535734
91	0.9735637469	0.07515474083
92	0.9736117879	0.07503921751
93	0.9736461028	0.07484924152
94	0.9736941438	0.07473741955
95	0.9737147328	0.07449466659
96	0.9737353218	0.07398907917
97	0.9737147328	0.07379793575
98	0.9737970887	0.07347373311
99	0.9737902257	0.07315354602
100	0.9738519927	0.07293440245
101	0.9738931706	0.07278659555
102	0.9739892526	0.07265690027
103	0.9740304305	0.07244312969
104	0.9740167045	0.07231136372
105	0.9740304305	0.07218470571
106	0.9740441565	0.07204130424
107	0.9740441565	0.07169310206
108	0.9740853345	0.07138901947
109	0.9741127864	0.07111626773
110	0.9741265124	0.07098704713
111	0.9741196494	0.07078056676
112	0.9741196494	0.07048352196
113	0.9741471014	0.0703058709
114	0.9742431833	0.06997996919
115	0.9742637723	0.06975046801
116	0.9742569093	0.06965941553
117	0.9742912243	0.06953505038
118	0.9743049503	0.06934668842
119	0.9743049503	0.06923500497
120	0.9743118133	0.06906732105
121	0.9742912243	0.06878447047
122	0.9743392652	0.06854997941
123	0.9743804432	0.06845897469
124	0.9744284842	0.06829344355
125	0.9744902511	0.06815784489
126	0.9745382921	0.06789176458
127	0.974675552	0.06765742904
128	0.9747510449	0.06756158011
129	0.9747579079	0.06735902308
130	0.9748265378	0.06711171126
131	0.9748128118	0.06700832482
132	0.9748334008	0.06686358921
133	0.9748471268	0.06662759297
134	0.9748677158	0.06638179474
135	0.9749294827	0.06613647397
136	0.9750255647	0.06589723734
137	0.9750324276	0.06574301276
138	0.9750598796	0.06552518104
139	0.9750667426	0.06533571132
140	0.9750804686	0.06504146533
141	0.9751490985	0.06484953322
142	0.9752245915	0.06471445855
143	0.9752657694	0.06458751026
144	0.9752726324	0.06446830346
145	0.9752657694	0.06433407166
146	0.9753412624	0.06408479707
147	0.9754373443	0.06387730738
148	0.9754442073	0.06371511596
149	0.9755265632	0.06355193755
150	0.9756295081	0.06331934849
151	0.9756912751	0.06316822648
152	0.9757187271	0.06296557102
153	0.975780494	0.06274925163
154	0.97572559	0.06266609176
155	0.975780494	0.06251916951
156	0.975807946	0.06232560374
157	0.9758765759	0.0621429659
158	0.9758903019	0.06206792731
159	0.9759246169	0.06198608082
160	0.9759314799	0.06188130457
161	0.9760206988	0.06175381038
162	0.9760550138	0.06164072243
163	0.9760824657	0.06154056908
164	0.9761305067	0.0614804402
165	0.9762471776	0.06140639784
166	0.9762059996	0.06119416251
167	0.9762265886	0.06113511543
168	0.9762471776	0.06100159697
169	0.9763363965	0.06094466351
170	0.9763844375	0.06086965355
171	0.9764324784	0.06069849531
172	0.9765628753	0.06053763544
173	0.9765628753	0.06039328401
174	0.9765697383	0.06021956893
175	0.9765285603	0.06008753463
176	0.9766177793	0.06003079601
177	0.9766109163	0.05981701218
178	0.9766658202	0.05973535851
179	0.9766726832	0.05961407669
180	0.9767619021	0.05940344775
181	0.9767756281	0.05929519645
182	0.9767687651	0.05915886639
183	0.9768305321	0.05908879647
184	0.976892299	0.0590266784
185	0.976885436	0.05896191114
186	0.976947203	0.05886081629
187	0.976974655	0.05879964018
188	0.9769952439	0.05862091803
189	0.976981518	0.05852547149
190	0.9770089699	0.05840897825
191	0.9770844629	0.05823180426
192	0.9770364219	0.05806953779
193	0.9770432849	0.0579793085
194	0.9770981889	0.05791993814
195	0.9771668188	0.05774205261
196	0.9771874078	0.05764610535
197	0.9772354487	0.05749413185
198	0.9772285857	0.05740825945
199	0.9772560377	0.05727359943
200	0.9772972157	0.05704594475
201	0.9773178047	0.05689424555
202	0.9773178047	0.05676487268
203	0.9774619275	0.05660085966
204	0.9774550645	0.05647883255
205	0.9775305575	0.05631824359
206	0.9776403654	0.05619939259
207	0.9777021323	0.05605790013
208	0.9777570363	0.05595511894
209	0.9778119402	0.05584941409
210	0.9778393922	0.05577910499
211	0.9778325292	0.05564370773
212	0.9778462552	0.05558805578
213	0.9778942962	0.05543722075
214	0.9780041041	0.05531978435
215	0.9779903781	0.0552122368
216	0.9780109671	0.05507029879
217	0.978072734	0.05502085302
218	0.9781688159	0.05485897379
219	0.9781894049	0.05481320906
220	0.9782648978	0.05467880696
221	0.9783060758	0.05454416468
222	0.9784021577	0.05438646475
223	0.9784158837	0.05430112359
224	0.9784707877	0.05425357587
225	0.9785256916	0.05419967111
226	0.9785462806	0.05410902254
227	0.9786011846	0.05401859071
228	0.9786286365	0.05391406588
229	0.9786080475	0.05379766224
230	0.9786217735	0.05370560723
231	0.9786904035	0.05366141441
232	0.9787178555	0.05361016781
233	0.9787384444	0.05357019338
234	0.9787453074	0.05342004015
235	0.9788002114	0.05331546021
236	0.9788894303	0.05319862869
237	0.9788825673	0.05311078666
238	0.9789031563	0.05301443378
239	0.9789168823	0.05288049786
240	0.9789237453	0.05284001492
241	0.9789786492	0.05267876208
242	0.9789923752	0.05259598098
243	0.9790266902	0.05254891346
244	0.9790129642	0.05250279615
245	0.9790129642	0.052464104
246	0.9790404162	0.05228169145
247	0.9791159091	0.05224010066
248	0.9791090461	0.05214486711
249	0.979191402	0.05204855278
250	0.979198265	0.05193379094
251	0.9793423879	0.05171576135
252	0.9793492509	0.05159902439
253	0.9793835659	0.05149313123
254	0.9793767029	0.05143577951
255	0.9794178808	0.05137566642
256	0.9794453328	0.05127205088
257	0.9795345517	0.05119749221
258	0.9795757297	0.0509987429
259	0.9796649486	0.05092034947
260	0.9796443596	0.05083584608
261	0.9796924006	0.05078069945
262	0.9797198526	0.05071585047
263	0.9797404416	0.05066450351
264	0.9797541676	0.05062281249
265	0.9798022085	0.05057161983
266	0.9799051534	0.05047188151
267	0.9799326054	0.05038354571
268	0.9799737834	0.05031836576
269	0.9800218243	0.0502617383
270	0.9800561393	0.05023556096
271	0.9801179062	0.05019130016
272	0.9801453582	0.05007384306
273	0.9801865362	0.04997802373
274	0.9802414401	0.04986669551
275	0.9802620291	0.04983273175
276	0.9802757551	0.0497817189
277	0.9802620291	0.0496876752
278	0.9803306591	0.04958635459
279	0.9803306591	0.04948001208
280	0.980399289	0.04938609485
281	0.980406152	0.04929907556
282	0.980440467	0.04916723834
283	0.9804953709	0.04913664291
284	0.9805502749	0.04906622121
285	0.9805708638	0.04897462612
286	0.9805434119	0.0488626549
287	0.9805845898	0.04879788334
288	0.9805914528	0.04876738309
289	0.9806394938	0.04857177103
290	0.9806326308	0.04846930723
291	0.9807355757	0.04838334409
292	0.9807355757	0.04832019292
293	0.9807493017	0.04827681274
294	0.9807767537	0.04819190576
295	0.9807836167	0.04816203883
296	0.9808110686	0.04812749313
297	0.9808453836	0.04805849199
298	0.9809140135	0.04798935486
299	0.9809208765	0.04786163248
300	0.9810032325	0.04779154133
301	0.9810100955	0.04775751073
302	0.9810375474	0.04756803193
303	0.9810649994	0.04750053212
304	0.9810787254	0.04743564224
305	0.9810924514	0.04733471488
306	0.9811199034	0.04728317932
307	0.9811267664	0.04724235161
308	0.9811610813	0.04715061366
309	0.9811953963	0.04712605821
310	0.9812846152	0.04702203586
311	0.9812983412	0.04700021
312	0.9813326562	0.0469734827
313	0.9813738341	0.04690014014
314	0.9814150121	0.04682162143
315	0.9814561901	0.04670354503
316	0.9814493271	0.04662315612
317	0.9814424641	0.04650150148
318	0.9814767791	0.04645592995
319	0.981497368	0.04642633133
320	0.981538546	0.04637385451
321	0.981565998	0.04622702849
322	0.9816071759	0.04614108194
323	0.98159345	0.04610563949
324	0.981600313	0.04597941717
325	0.9816209019	0.04595081544
326	0.9816483539	0.04592063118
327	0.9816826689	0.04585312134
328	0.9817169839	0.04580390588
329	0.9817444358	0.04565604512
330	0.9818473807	0.04555748742
331	0.9818816957	0.04552732917
332	0.9818954217	0.04545681301
333	0.9819091477	0.04541027942
334	0.9819022847	0.04539355416
335	0.9819228737	0.04531714676
336	0.9819777776	0.04529917655
337	0.9819846406	0.04524026214
338	0.9820120926	0.04520072845
339	0.9820532706	0.04511076548
340	0.9820669965	0.04499923458
341	0.9821081745	0.04490378754
342	0.9821493525	0.04483758988
343	0.9821562155	0.04478144855
344	0.9822317084	0.04466435546
345	0.9822866124	0.0445767402
346	0.9823140643	0.04443816494
347	0.9823415163	0.04440571871
348	0.9823621053	0.04438399455
349	0.9823689683	0.04434519201
350	0.9823758313	0.0443110957
351	0.9823895573	0.04427874337
352	0.9824170092	0.04425124753
353	0.9824581872	0.04418078847
354	0.9824444612	0.04413466491
355	0.9824650502	0.04409999211
356	0.9824993652	0.043992081
357	0.9825130912	0.04395114223
358	0.9826297621	0.04387487711
359	0.9826366251	0.04382074018
360	0.9826023101	0.04374300239
361	0.982650351	0.04370925922
362	0.982657214	0.04367420264
363	0.982691529	0.04363553581
364	0.982718981	0.04351042576
365	0.982712118	0.04349090242
366	0.9827876109	0.04342799372
367	0.9827876109	0.04332529432
368	0.9828905558	0.04327065355
369	0.9829248708	0.04317710721
370	0.9829866378	0.04312971323
371	0.9829866378	0.04301040885
372	0.9830346787	0.0429774279
373	0.9830552677	0.04291631427
374	0.9830758567	0.04289159323
375	0.9831101716	0.04285272559
376	0.9830895827	0.04280250468
377	0.9831238976	0.04274662242
378	0.9831101716	0.04267441029
379	0.9831101716	0.04261871949
380	0.9831376236	0.04256273204
381	0.9831582126	0.04246456678
382	0.9831238976	0.0424381381
383	0.9832131166	0.04233249936
384	0.9832337055	0.04229548209
385	0.9832131166	0.04224416132
386	0.9832131166	0.04215420735
387	0.9832337055	0.04213547515
388	0.9832954725	0.04208380709
389	0.9833503764	0.04205393162
390	0.9834052804	0.04203249856
391	0.9834190064	0.04194650184
392	0.9834807733	0.0418790224
393	0.9835150883	0.04184497947
394	0.9835288143	0.04174091168
395	0.9835768552	0.04167335693
396	0.9835974442	0.04160604988
397	0.9835905812	0.0415645095
398	0.9835974442	0.04153038336
399	0.9836729372	0.041487542
400	0.9836866631	0.04143049442
401	0.9837141151	0.04136920334
402	0.9837209781	0.04134555564
403	0.9837278411	0.0413125022
404	0.9837827451	0.04118151735
405	0.983830786	0.04110012264
406	0.983837649	0.04106245504
407	0.983858238	0.04097933853
408	0.983823923	0.04090945314
409	0.983844512	0.04086008108
410	0.983830786	0.04083243998
411	0.983844512	0.04076434154
412	0.983899416	0.04066629307
413	0.983892553	0.04060036297
414	0.983899416	0.04058531183
415	0.9839268679	0.04051625772
416	0.9839954979	0.04043137329
417	0.9840366758	0.04038884169
418	0.9840504018	0.04030442698
419	0.9840778538	0.04025927156
420	0.9841327578	0.04019340701
421	0.9842013877	0.04010770827
422	0.9842288397	0.0400802948
423	0.9842288397	0.03997880176
424	0.9842494287	0.03994952975
425	0.9842768806	0.0398552244
426	0.9842700176	0.03978889855
427	0.9842906066	0.03976537527
428	0.9843660996	0.03968278145
429	0.9844210035	0.03959807204
430	0.9844072775	0.0395708544
431	0.9844072775	0.03955142414
432	0.9844621815	0.0394760089
433	0.9844896334	0.03945201553
434	0.9845308114	0.03939938381
435	0.9845651264	0.03932810488
436	0.9845719894	0.03927597121
437	0.9845925784	0.03924417928
438	0.9846063043	0.03923184835
439	0.9846337563	0.03918253059
440	0.9846612083	0.03912327462
441	0.9846612083	0.03908453279
442	0.9846955233	0.03901146073
443	0.9847161123	0.03900046082
444	0.9847572902	0.03893005695
445	0.9848121942	0.03886531158
446	0.9848053312	0.03883137043
447	0.9847916052	0.03878467818
448	0.9847916052	0.03876864711
449	0.9848259202	0.03871690547
450	0.9848396461	0.03868226735
451	0.9848670981	0.03861230035
452	0.9849220021	0.03855941163
453	0.9849288651	0.03852403347
454	0.9849288651	0.03851541444
455	0.9849288651	0.03843562748
456	0.9849425911	0.03841322248
457	0.98496318	0.03835924879
458	0.984976906	0.03827888721
459	0.985004358	0.03824763899
460	0.985011221	0.03824077163
461	0.985011221	0.03821508864
462	0.984949454	0.03814870032
463	0.984949454	0.03811534751
464	0.984970043	0.03804782044
465	0.984997495	0.03801256662
466	0.9850661249	0.03793880757
467	0.9851073029	0.03791446595
468	0.9851073029	0.03787938188
469	0.9851278919	0.03783924481
470	0.9851210289	0.03777868874
471	0.9851347549	0.03776342183
472	0.9851965218	0.0377187679
473	0.9852308368	0.03766841494
474	0.9852308368	0.03760700677
